Draw; 5; 5; 9/2; ; 11/2; ; 11/2; 9/2; 11/2; 5; 5; 5; 21/4; 11/2; ; 11/2; 96/19; 5; 5; 96/19; 27/5; 57/10; 5; ; ; 1/100; ; 
Stoke; 14; 11; 9; ; 14; 12; 16; 9; 11; 11; 12; 11; 12; 12; ; 14; 41/4; 9; 12; 41/4; 25/2; 11; 12; ; ; 1/50; ; 
META; english/premier-league/man-city-v-stoke; 2017-03-02 22:16:08 GMT+2; 2017-03-11 12:30; Nothing; Xlenovo
Man City; 1/5; 2/9; 1/4; ; 2/9; 2/9; 2/9; 1/4; 1/4; 2/9; 2/9; 2/9; 2/9; 2/9; ; 2/9; 2/9; 1/4; 2/9; 2/9; 27/100; 3/13; 2/9; ; ; 1/100; ; 
Draw; 5; 5; 9/2; ; 11/2; ; 11/2; 9/2; 11/2; 5; 5; 5; 21/4; 11/2; ; 11/2; 26/5; 5; 5; 26/5; 27/5; 57/10; 5; ; ; 1/50; ; 
Stoke; 14; 11; 9; ; 14; 12; 12; 9; 11; 11; 12; 11; 12; 12; ; 14; 23/2; 9; 12; 23/2; 25/2; 11; 12; ; ; 1/50; ; 
META; english/premier-league/man-city-v-stoke; 2017-03-03 02:16:24 GMT+2; 2017-03-11 12:30; Nothing; Xlenovo
Man City; 1/5; 2/9; 1/4; ; 2/9; 2/9; 2/9; 1/4; 1/4; 2/9; 2/9; 2/9; 2/9; 2/9; ; 2/9; 2/9; 1/4; 2/9; 2/9; 27/100; 3/13; 2/9; ; ; 1/9; ; 
Draw; 5; 5; 9/2; ; 11/2; ; 11/2; 9/2; 11/2; 5; 5; 5; 21/4; 11/2; ; 11/2; 26/5; 5; 5; 26/5; 27/5; 57/10; 5; ; ; 1/50; ; 
Stoke; 14; 11; 9; ; 14; 12; 12; 9; 11; 11; 12; 11; 12; 12; ; 14; 23/2; 9; 12; 23/2; 25/2; 11; 12; ; ; 62/5; ; 
META; english/premier-league/man-city-v-stoke; 2017-03-03 06:16:02 GMT+2; 2017-03-11 12:30; Nothing; Xlenovo
