META; english/premier-league/man-city-v-chelsea; 2016-11-07 20:17:41 GMT+2; 2016-12-03 12:30; e70300-dr003
Draw; 5/2; 13/5; 13/5; 5/2; 5/2; 5/2; 13/5; 12/5; 13/5; 5/2; 5/2; 23/10; 5/2; 5/2; 13/5; 5/2; 27/11; 5/2; 5/2; 5/2; 27/11; 5/2; 12/5; 5/2; 12/5; ; 12/5; 12/5; 5/2
Chelsea; 5/2; 5/2; 12/5; 5/2; 5/2; 12/5; 5/2; 12/5; 12/5; 5/2; 5/2; 5/2; 12/5; 5/2; 5/2; 5/2; 28/11; 13/5; 13/5; 13/5; 28/11; 5/2; 27/11; 13/5; 5/2; ; 5/2; 5/2; 13/5
META; english/premier-league/man-city-v-chelsea; 2016-12-03 15:45:01 GMT+2; 2016-12-03 12:30; In Play; e70300-dr003
Man City; 3/10; 2/7; 1/3; 3/10; 4/11; 3/10; ; 1/33; ; 3/10; 3/10; 3/10; 2/7; 1/3; ; ; 7/19; 3/10; ; 1/3; 4/11; 7/20; ; 3/10; 1/3; ; 4/11; 1/3; 4/11
Draw; 7/2; 7/2; 18/5; 7/2; 7/2; 10/3; ; 14; ; 10/3; 16/5; 18/5; 15/4; 7/2; ; ; 57/17; 7/2; ; 10/3; 57/17; 73/20; ; 7/2; 10/3; ; 7/2; 7/2; 7/2
Chelsea; 12; 14; 11; 12; 11; 14; ; 60; ; 11; 11; 12; 12; 10; ; ; 35/4; 23/2; ; 23/2; 35/4; 10; ; 23/2; 10; ; 57/5; 14; 48/5
META; english/premier-league/man-city-v-chelsea; 2016-12-03 16:17:17 GMT+2; 2016-12-03 12:30; In Play; e70300-dr003
Chelsea; 1/9; 1/6; 2/5; 2/13; 1/4; 13/100; 1/10; 1/12; 10/3; 4/11; 1/8; 1/8; 1/8; ; ; ; 7/17; 17/4; ; 2/9; 2/5; 33/100; ; 3/10; 2/9; ; 2/5; 1/5; 4/11
Draw; 11/2; 11/2; 14/5; 5; 4; 5; 13/2; 7; 11/10; 13/5; 5; 11/2; 21/4; ; ; ; 13/5; 11/12; ; 7/2; 45/17; 33/10; ; 16/5; 15/4; ; 14/5; 21/5; 3
Man City; 150; 80; 14; 40; 28; 66; 55; 90; 13/8; 12; 45; 45; 55; ; ; ; 39/4; 24/13; ; 35; 23/2; 15; ; 19; 33; ; 76/5; 79; 
