META; english/premier-league/bournemouth-v-tottenham; 2016-09-27 00:17:32 GMT+3; 2016-10-22 12:30; e70300-dr003
Bournemouth; 16/5; 3; 29/10; 3; 3; 3; 29/10; 14/5; 3; 3; 14/5; 3; 29/10; 14/5; 3; 16/5; 56/19; 3; 31/10; 3; 56/19; 16/5; 11/4; 3; 3; ; 3; 3; 3
META; english/premier-league/bournemouth-v-tottenham; 2016-10-22 09:45:16 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 19/20; 19/20; 19/20; 1; 20/21; 19/20; 20/21; 1; 10/11; 1; 1; 19/20; 19/20; 19/20; 1; 10/11; 19/20; 1; 19/20; 1; ; 19/20; 28/29; 1; 19/20; ; 10/11; 20/21; 20/21
Draw ; 13/5; 13/5; 13/5; 13/5; 11/4; 13/5; 11/4; 5/2; 13/5; 5/2; 13/5; 5/2; 53/20; 5/2; 13/5; 27/10; 28/11; 45/17; 13/5; 13/5; 28/11; 27/10; 45/17; 45/17; 13/5; ; 13/5; 13/5; 13/5
Bournemouth; 16/5; 3; 3; 3; 3; 3; 31/10; 14/5; 3; 3; 14/5; 16/5; 29/10; 29/10; 3; 16/5; 3; 3; 31/10; 3; 3; 13/4; 37/13; 3; 3; ; 3; 3; 3
META; english/premier-league/bournemouth-v-tottenham; 2016-10-22 11:45:16 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 19/20; 1; 19/20; 1; 1; 19/20; 1; 1; 1; 1; 1; 1; 19/20; 1; 19/20; 10/11; 1; 1; 19/20; 1; 1; 22/23; 39/40; 1; 19/20; ; 20/21; 20/21; 1
Draw ; 27/10; 13/5; 27/10; 13/5; 13/5; 13/5; 27/10; 5/2; 13/5; 5/2; 13/5; 5/2; 53/20; 13/5; 11/4; 37/13; 28/11; 45/17; 13/5; 13/5; 28/11; 27/10; 13/5; 45/17; 13/5; ; 5/2; 5/2; 13/5
Bournemouth; 16/5; 14/5; 3; 3; 3; 3; 29/10; 14/5; 14/5; 3; 14/5; 3; 59/20; 3; 3; 31/10; 29/10; 3; 31/10; 3; 29/10; 16/5; 29/10; 3; 3; ; 3; 3; 3
META; english/premier-league/bournemouth-v-tottenham; 2016-10-22 12:17:30 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 19/20; 19/20; 19/20; 1; 1; 19/20; 1; 1; 1; ; 1; 1; 1; 1; 19/20; 10/11; 1; 22/23; 19/20; 20/21; 19/20; 22/23; 66/67; 22/23; 19/20; ; 20/21; 20/21; 1
Draw ; 27/10; 13/5; 27/10; 13/5; 13/5; 13/5; 27/10; 5/2; 13/5; ; 13/5; 5/2; 53/20; 13/5; 11/4; 27/10; 28/11; 77/29; 13/5; 13/5; 28/11; 27/10; 13/5; 77/29; 13/5; ; 5/2; 5/2; 13/5
Bournemouth; 16/5; 3; 3; 3; 3; 3; 29/10; 14/5; 14/5; ; 14/5; 3; 57/20; 3; 3; 16/5; 29/10; 25/8; 31/10; 3; 3; 16/5; 29/10; 25/8; 3; ; 3; 3; 3
META; english/premier-league/bournemouth-v-tottenham; 2016-10-22 13:03:31 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 19/20; 19/20; 1; 1; 1; 19/20; 1; 1; 1; 1; 1; 1; 1; 1; 19/20; 10/11; 1; 22/23; 19/20; 20/21; 19/20; 22/23; 68/67; 22/23; 1; ; 20/21; 20/21; 1
Draw ; 27/10; 13/5; 27/10; 13/5; 13/5; 13/5; 27/10; 5/2; 13/5; 5/2; 13/5; 5/2; 53/20; 13/5; 11/4; 27/10; 28/11; 77/29; 13/5; 13/5; 28/11; 27/10; 13/5; 77/29; 5/2; ; 5/2; 13/5; 13/5
Bournemouth; 16/5; 29/10; 29/10; 3; 3; 3; 29/10; 14/5; 14/5; 3; 14/5; 3; 57/20; 3; 3; 16/5; 29/10; 25/8; 31/10; 3; 3; 16/5; 37/13; 25/8; 3; ; 3; 3; 3
META; english/premier-league/bournemouth-v-tottenham; 2016-10-22 13:45:16 GMT+3; 2016-10-22 12:30; e70300-dr003
Tottenham; 19/20; 19/20; 19/20; 1; 1; 19/20; 1; 1; 1; 1; 1; 1; 19/20; 19/20; 19/20; 10/11; 1; 22/23; 19/20; 20/21; 19/20; 22/23; 19/20; 22/23; 19/20; ; 20/21; 20/21; 20/21
Draw ; 13/5; 13/5; 27/10; 13/5; 13/5; 13/5; 13/5; 5/2; 13/5; 5/2; 13/5; 5/2; 53/20; 13/5; 11/4; 27/10; 28/11; 77/29; 13/5; 13/5; 28/11; 27/10; 13/5; 77/29; 5/2; ; 5/2; 13/5; 13/5
Bournemouth; 16/5; 29/10; 3; 3; 3; 3; 3; 14/5; 14/5; 3; 14/5; 3; 59/20; 16/5; 3; 33/10; 29/10; 25/8; 31/10; 3; 3; 16/5; 3; 25/8; 3; ; 3; 3; 3
META; english/premier-league/bournemouth-v-tottenham; 2016-10-22 15:45:16 GMT+3; 2016-10-22 12:30; In Play; e70300-dr003
Tottenham; 11/8; 11/8; 1; 5/4; 1; 7/5; 7/5; 6/4; ; 11/8; 13/10; 13/10; 6/4; 5/4; ; ; 13/10; 5/4; 5/4; ; 5/4; ; ; ; ; ; 13/10; 7/5; 27/20
Draw; 13/10; 5/4; 23/10; 8/5; 11/5; 13/10; 6/5; 11/10; ; 6/5; 6/5; 29/20; 5/4; 8/5; ; ; 6/4; 8/5; 23/17; ; 8/5; ; ; ; ; ; 13/8; 27/20; 17/10
Bournemouth; 4; 7/2; 3; 10/3; 10/3; 19/5; 17/4; 7/2; ; 15/4; 19/5; 7/2; 15/4; 10/3; ; ; 38/11; 17/5; 4; ; 33/10; ; ; ; ; ; 3; 7/2; 7/2
META; english/premier-league/bournemouth-v-tottenham; 2016-10-22 16:16:57 GMT+3; 2016-10-22 12:30; In Play; e70300-dr003
Draw; 2/9; 1/5; 23/10; 2/5; 1; 2/9; 1/5; 1/4; ; 1/4; 2/9; 1/3; 2/7; 7/20; ; ; 9/10; 7/8; 1/4; ; 19/20; ; ; ; ; ; 6/5; 2/5; 1/2
Tottenham; 5; 5; 1; 3; 15/8; 5; 11/2; 4; ; 9/2; 5; 18/5; 17/4; 16/5; ; ; 17/10; 17/10; 9/2; ; 8/5; ; ; ; ; ; 6/4; 3; 14/5
Bournemouth; 12; 12; 3; 17/2; 9/2; 12; 12; 9; ; 10; 11; 10; 11; 10; ; ; 49/10; 21/4; 13; ; 5; ; ; ; ; ; 21/5; 58/5; 43/5
