Liverpool; 12/5; 23/10; 11/5; 23/10; 12/5; 23/10; 23/10; 11/5; 9/4; 12/5; 23/10; 9/4; 12/5; 47/20; 12/5; 23/10; 12/5; 23/10; 9/4; 12/5; 12/5; 23/10; 40/17; 23/10; 23/10; ; 23/10; 23/10; 12/5
Draw; 5/2; 5/2; 5/2; 5/2; 5/2; 5/2; 5/2; 12/5; 13/5; 5/2; 5/2; 23/10; 12/5; 47/20; 5/2; 5/2; 5/2; 40/17; 28/11; 5/2; 5/2; 27/11; 28/11; 5/2; 13/5; ; 12/5; 5/2; 5/2
META; english/premier-league/chelsea-v-liverpool; 2016-09-16 12:57:05 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 5/4; 6/5; 13/10; 5/4; 5/4; 5/4; 13/10; 5/4; 5/4; 5/4; 5/4; 13/10; 13/10; 5/4; 5/4; 5/4; 5/4; 6/5; 13/10; 6/5; 5/4; 6/5; 14/11; 16/13; 13/10; ; 6/5; 6/5; 5/4
Liverpool; 12/5; 23/10; 11/5; 23/10; 12/5; 23/10; 23/10; 11/5; 9/4; 12/5; 23/10; 9/4; 12/5; 47/20; 12/5; 23/10; 12/5; 23/10; 9/4; 12/5; 12/5; 23/10; 22/9; 23/10; 23/10; ; 23/10; 23/10; 12/5
Draw; 5/2; 5/2; 5/2; 5/2; 5/2; 5/2; 5/2; 12/5; 13/5; 5/2; 5/2; 23/10; 12/5; 47/20; 5/2; 5/2; 5/2; 40/17; 28/11; 5/2; 5/2; 27/11; 53/21; 41/17; 13/5; ; 12/5; 5/2; 5/2
META; english/premier-league/chelsea-v-liverpool; 2016-09-16 13:45:02 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 5/4; 6/5; 13/10; 5/4; 5/4; 5/4; 13/10; 5/4; 5/4; ; 5/4; 13/10; ; 5/4; 5/4; 5/4; 5/4; 6/5; 16/13; 6/5; ; 6/5; 14/11; 16/13; 13/10; ; 5/4; 5/4; 13/10
Liverpool; 12/5; 23/10; 11/5; 23/10; 12/5; 23/10; 23/10; 11/5; 9/4; ; 23/10; 9/4; ; 47/20; 12/5; 23/10; 12/5; 23/10; 27/11; 12/5; ; 23/10; 22/9; 23/10; 23/10; ; 23/10; 23/10; 12/5
Draw; 5/2; 5/2; 5/2; 5/2; 5/2; 5/2; 5/2; 12/5; 13/5; ; 5/2; 23/10; ; 47/20; 5/2; 5/2; 5/2; 40/17; 5/2; 5/2; ; 27/11; 53/21; 41/17; 5/2; ; 12/5; 12/5; 5/2
META; english/premier-league/chelsea-v-liverpool; 2016-09-16 15:45:01 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 5/4; 6/5; 13/10; 5/4; 5/4; 5/4; 13/10; 5/4; 5/4; 9/7; 5/4; 13/10; 13/10; 5/4; 5/4; 5/4; 5/4; 5/4; 9/7; 5/4; 5/4; 5/4; 9/7; 17/14; 13/10; ; 6/5; 5/4; 13/10
Liverpool; 12/5; 23/10; 43/20; 23/10; 12/5; 23/10; 23/10; 11/5; 9/4; 40/17; 23/10; 23/10; 12/5; 47/20; 12/5; 23/10; 12/5; 23/10; 40/17; 23/10; 23/10; 23/10; 22/9; 23/10; 23/10; ; 23/10; 23/10; 23/10
Draw; 5/2; 5/2; 5/2; 5/2; 5/2; 5/2; 5/2; 12/5; 13/5; 27/11; 5/2; 23/10; 12/5; 47/20; 5/2; 5/2; 5/2; 23/10; 27/11; 5/2; 12/5; 12/5; 52/21; 5/2; 13/5; ; 12/5; 12/5; 5/2
META; english/premier-league/chelsea-v-liverpool; 2016-09-16 16:16:01 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 5/4; 6/5; 13/10; 5/4; 5/4; 5/4; 13/10; 5/4; 5/4; 14/11; 5/4; 13/10; 13/10; 5/4; 5/4; 5/4; 5/4; 5/4; 14/11; 5/4; 5/4; 5/4; 9/7; 17/14; 13/10; ; 6/5; 5/4; 13/10
Liverpool; 12/5; 23/10; 43/20; 23/10; 12/5; 23/10; 23/10; 11/5; 9/4; 12/5; 23/10; 23/10; 12/5; 47/20; 12/5; 23/10; 12/5; 23/10; 12/5; 23/10; 23/10; 23/10; 22/9; 23/10; 23/10; ; 23/10; 23/10; 12/5
Draw; 5/2; 5/2; 5/2; 5/2; 5/2; 5/2; 5/2; 12/5; 13/5; 27/11; 5/2; 23/10; 12/5; 47/20; 5/2; 5/2; 5/2; 23/10; 27/11; 5/2; 12/5; 12/5; 52/21; 5/2; 13/5; ; 12/5; 12/5; 5/2
META; english/premier-league/chelsea-v-liverpool; 2016-09-16 17:45:01 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 5/4; 6/5; 13/10; 5/4; 5/4; 5/4; 13/10; 5/4; 5/4; 14/11; 5/4; 13/10; 13/10; 5/4; 5/4; 5/4; 5/4; 5/4; 14/11; 5/4; 5/4; 5/4; 9/7; 16/13; 13/10; ; 6/5; 5/4; 13/10
Liverpool; 12/5; 23/10; 43/20; 23/10; 12/5; 9/4; 9/4; 11/5; 9/4; 12/5; 23/10; 9/4; 12/5; 47/20; 12/5; 23/10; 12/5; 23/10; 12/5; 23/10; 23/10; 23/10; 22/9; 9/4; 12/5; ; 23/10; 23/10; 12/5
Draw; 5/2; 5/2; 5/2; 5/2; 5/2; 5/2; 5/2; 12/5; 13/5; 27/11; 5/2; 23/10; 12/5; 47/20; 5/2; 5/2; 5/2; 23/10; 27/11; 5/2; 12/5; 12/5; 52/21; 5/2; 5/2; ; 12/5; 12/5; 5/2
META; english/premier-league/chelsea-v-liverpool; 2016-09-16 18:30:37 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 5/4; 6/5; 13/10; 5/4; 5/4; 5/4; 13/10; 5/4; 5/4; 13/10; 5/4; 13/10; 13/10; 5/4; 5/4; 5/4; 5/4; 5/4; 13/10; 5/4; 13/10; 5/4; 9/7; 24/19; 13/10; ; 5/4; 5/4; 13/10
Liverpool; 12/5; 23/10; 11/5; 23/10; 12/5; 23/10; 23/10; 11/5; 9/4; 23/10; 23/10; 9/4; 12/5; 47/20; 23/10; 23/10; 23/10; 23/10; 23/10; 23/10; 23/10; 23/10; 22/9; 41/18; 12/5; ; 23/10; 23/10; 12/5
Draw; 5/2; 5/2; 5/2; 5/2; 5/2; 5/2; 5/2; 12/5; 13/5; 5/2; 5/2; 23/10; 12/5; 47/20; 5/2; 5/2; 5/2; 23/10; 5/2; 5/2; 5/2; 12/5; 52/21; 12/5; 12/5; ; 12/5; 12/5; 5/2
META; english/premier-league/chelsea-v-liverpool; 2016-09-16 19:45:01 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 5/4; 6/5; 5/4; 5/4; 5/4; 6/5; 13/10; 5/4; 5/4; 13/10; 5/4; 5/4; 13/10; 13/10; 6/5; 5/4; 5/4; 6/5; 13/10; 5/4; 13/10; 6/5; 13/10; 16/13; 5/4; ; 5/4; 5/4; 5/4
Liverpool; 12/5; 23/10; 23/10; 23/10; 12/5; 23/10; 23/10; 11/5; 9/4; 23/10; 23/10; 23/10; 12/5; 23/10; 12/5; 23/10; 23/10; 23/10; 23/10; 23/10; 23/10; 23/10; 29/12; 40/17; 12/5; ; 23/10; 23/10; 12/5
Draw; 5/2; 5/2; 5/2; 5/2; 5/2; 5/2; 5/2; 12/5; 13/5; 5/2; 5/2; 12/5; 12/5; 23/10; 5/2; 5/2; 5/2; 40/17; 5/2; 5/2; 5/2; 12/5; 52/21; 12/5; 5/2; ; 12/5; 12/5; 5/2
META; english/premier-league/chelsea-v-liverpool; 2016-09-16 20:16:49 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 5/4; 6/5; 5/4; 5/4; 5/4; 6/5; 5/4; 5/4; 5/4; 13/10; 6/5; 5/4; 13/10; 13/10; 6/5; 5/4; 5/4; 6/5; 13/10; 5/4; 13/10; 6/5; 9/7; 6/5; 5/4; ; 6/5; 6/5; 5/4
Liverpool; 12/5; 23/10; 23/10; 23/10; 12/5; 23/10; 23/10; 11/5; 9/4; 23/10; 23/10; 23/10; 12/5; 23/10; 12/5; 23/10; 40/17; 23/10; 23/10; 23/10; 23/10; 23/10; 29/12; 23/10; 12/5; ; 23/10; 23/10; 12/5
Draw; 5/2; 5/2; 5/2; 5/2; 5/2; 5/2; 5/2; 12/5; 13/5; 5/2; 13/5; 12/5; 12/5; 23/10; 5/2; 5/2; 5/2; 40/17; 5/2; 5/2; 5/2; 5/2; 5/2; 13/5; 5/2; ; 12/5; 5/2; 5/2
META; english/premier-league/chelsea-v-liverpool; 2016-09-16 21:45:02 GMT+3; 2016-09-16 20:00; e70300-dr003
Chelsea; 23/20; 11/10; 6/5; 6/5; 23/20; 23/20; 6/5; 5/4; 6/5; 6/5; 6/5; 23/20; 5/4; 6/5; 23/20; 6/5; 6/5; 6/5; 6/5; 6/5; 6/5; 15/13; 6/5; 8/7; 6/5; ; 10/9; 23/20; 6/5
Draw; 5/2; 13/5; 13/5; 5/2; 13/5; 5/2; 13/5; 12/5; 13/5; 28/11; 13/5; 13/5; 11/5; 5/2; 5/2; 5/2; 13/5; 12/5; 28/11; 5/2; 5/2; 5/2; 31/12; 5/2; 5/2; ; 12/5; 5/2; 5/2
Liverpool; 13/5; 5/2; 49/20; 12/5; 5/2; 5/2; 12/5; 11/5; 23/10; 5/2; 23/10; 12/5; 13/5; 47/20; 13/5; 12/5; 40/17; 23/10; 5/2; 12/5; 5/2; 12/5; 23/9; 27/11; 13/5; ; 5/2; 5/2; 13/5
META; english/premier-league/chelsea-v-liverpool; 2016-09-16 23:45:01 GMT+3; 2016-09-16 20:00; In Play; e70300-dr003
Liverpool; 1/6; ; ; 1/5; ; 1/8; ; 1/12; 2/15; ; 1/5; ; ; 2/13; 2/5; ; ; 3/19; 2/11; ; ; 3/19; 1/5; ; 1/5; ; 4/11; 1/6; 2/9
Draw; 9/2; ; ; 4; ; 5; ; 6; 19/4; ; 7/2; ; ; 19/4; 27/10; ; ; 79/17; 17/4; ; ; 79/17; 43/10; ; 17/4; ; 3; 23/5; 4
Chelsea; 66; ; ; 28; ; 66; ; 70; 50; ; 25; ; ; 50; 14; ; ; 73/2; 34; ; ; 73/2; 45; ; 33; ; 78/5; 51; 32
