META; english/premier-league/man-utd-v-arsenal; 2016-10-25 20:18:13 GMT+3; 2016-11-19 12:30; e70300-dr003
Man Utd; 31/20; 6/4; 6/4; 7/5; 6/4; 29/20; 6/4; 6/4; 7/5; 6/4; 7/5; 6/4; 6/4; 7/5; 7/5; 6/4; 16/11; 17/12; 17/11; 7/5; 7/5; 19/13; 17/12; 17/12; 6/4; ; 7/5; 7/5; 6/4
Arsenal; 2; 2; 19/10; 21/10; 21/10; 21/10; 2; 9/5; 2; 2; 2; 2; 2; 2; 11/5; 2; 37/19; 28/13; 2; 21/10; 39/19; 11/5; 21/10; 28/13; 21/10; ; 2; 2; 11/5
Draw ; 23/10; 23/10; 12/5; 23/10; 23/10; 23/10; 12/5; 12/5; 23/10; 23/10; 11/5; 11/5; 9/4; 11/5; 23/10; 9/4; 40/17; 12/5; 23/10; 12/5; 23/10; 19/8; 9/4; 12/5; 23/10; ; 9/4; 23/10; 23/10
META; english/premier-league/man-utd-v-arsenal; 2016-11-19 11:45:02 GMT+2; 2016-11-19 12:30; e70300-dr003
Man Utd; 6/4; 6/4; 6/4; 6/4; 6/4; 29/20; 31/20; 6/4; 7/5; 6/4; 29/20; 6/4; 29/20; 6/4; 7/5; 6/4; 6/4; 31/21; 6/4; 7/5; 16/11; 19/13; 52/35; 31/21; 6/4; ; 7/5; 7/5; 6/4
Arsenal; 21/10; 2; 39/20; 2; 21/10; 41/20; 2; 9/5; 2; 2; 21/10; 2; 2; 21/10; 11/5; 2; 37/19; 21/10; 21/10; 21/10; 39/19; 11/5; 2; 21/10; 21/10; ; 2; 2; 21/10
Draw ; 23/10; 23/10; 47/20; 23/10; 23/10; 23/10; 23/10; 12/5; 23/10; 23/10; 9/4; 11/5; 9/4; 23/10; 23/10; 9/4; 23/10; 40/17; 23/10; 23/10; 9/4; 19/8; 9/4; 40/17; 9/4; ; 9/4; 9/4; 23/10
META; english/premier-league/man-utd-v-arsenal; 2016-11-19 12:17:08 GMT+2; 2016-11-19 12:30; e70300-dr003
Man Utd; 6/4; 6/4; 31/20; 6/4; 6/4; 6/4; 31/20; 6/4; 7/5; 6/4; 29/20; 6/4; 29/20; 6/4; 7/5; 6/4; 6/4; 31/21; 6/4; 7/5; 16/11; 19/13; 53/35; 31/21; 6/4; ; 7/5; 7/5; 6/4
Arsenal; 21/10; 2; 39/20; 2; 21/10; 41/20; 2; 9/5; 2; 2; 21/10; 2; 2; 21/10; 21/10; 21/10; 37/19; 21/10; 21/10; 21/10; 39/19; 11/5; 2; 21/10; 21/10; ; 2; 2; 2
Draw ; 23/10; 23/10; 47/20; 23/10; 23/10; 9/4; 23/10; 12/5; 23/10; 23/10; 9/4; 11/5; 9/4; 23/10; 12/5; 9/4; 23/10; 40/17; 23/10; 23/10; 9/4; 19/8; 9/4; 40/17; 11/5; ; 9/4; 9/4; 23/10
META; english/premier-league/man-utd-v-arsenal; 2016-11-19 13:05:18 GMT+2; 2016-11-19 12:30; e70300-dr003
Man Utd; 6/4; 6/4; 31/20; 6/4; 6/4; 6/4; 8/5; 6/4; 7/5; 6/4; 29/20; 6/4; 29/20; 6/4; 7/5; 6/4; 6/4; 53/35; 6/4; 6/4; 16/11; 32/21; 22/15; 53/35; 6/4; ; 6/4; 7/5; 6/4
Arsenal; 21/10; 2; 39/20; 2; 2; 41/20; 2; 9/5; 2; 2; 21/10; 2; 2; 21/10; 21/10; 21/10; 19/10; 25/12; 21/10; 2; 39/19; 21/10; 39/19; 25/12; 21/10; ; 19/10; 2; 21/10
Draw ; 23/10; 23/10; 23/10; 23/10; 23/10; 9/4; 23/10; 12/5; 23/10; 23/10; 9/4; 11/5; 9/4; 23/10; 12/5; 9/4; 23/10; 44/19; 23/10; 23/10; 9/4; 19/8; 13/6; 44/19; 9/4; ; 11/5; 9/4; 23/10
META; english/premier-league/man-utd-v-arsenal; 2016-11-19 13:45:02 GMT+2; 2016-11-19 12:30; e70300-dr003
Man Utd; 6/4; 6/4; 31/20; 6/4; 6/4; 29/20; 31/20; 6/4; 7/5; 6/4; 29/20; 6/4; 6/4; 8/5; 8/5; 6/4; 6/4; 23/15; 16/11; 6/4; 6/4; 32/21; 22/15; 6/4; 6/4; ; 6/4; 6/4; 6/4
Arsenal; 21/10; 2; 39/20; 2; 2; 43/20; 2; 15/8; 2; 2; 21/10; 2; 2; 2; 19/10; 21/10; 19/10; 21/10; 21/10; 21/10; 2; 21/10; 39/19; 28/13; 21/10; ; 2; 2; 21/10
Draw ; 23/10; 23/10; 23/10; 23/10; 23/10; 9/4; 23/10; 23/10; 23/10; 23/10; 9/4; 11/5; 9/4; 11/5; 23/10; 9/4; 23/10; 9/4; 23/10; 9/4; 9/4; 19/8; 9/4; 9/4; 9/4; ; 11/5; 9/4; 9/4
META; english/premier-league/man-utd-v-arsenal; 2016-11-19 15:45:02 GMT+2; 2016-11-19 12:30; In Play; e70300-dr003
Draw; 11/10; ; ; ; ; ; ; 1; ; ; 1; 7/5; ; 23/20; ; ; ; ; ; ; 7/5; ; ; ; ; ; ; ; 
Man Utd; 15/8; ; ; ; ; ; ; 2; ; ; 7/4; 13/8; ; 7/4; ; ; ; ; ; ; 8/5; ; ; ; ; ; ; ; 
Arsenal; 10/3; ; ; ; ; ; ; 16/5; ; ; 29/10; 11/4; ; 3; ; ; ; ; ; ; 27/10; ; ; ; ; ; ; ; 
META; english/premier-league/man-utd-v-arsenal; 2016-11-19 16:16:47 GMT+2; 2016-11-19 12:30; In Play; e70300-dr003
Man Utd; 1/20; ; 2/11; ; 1/8; 1/18; ; 1/20; ; ; 13/2; 2/13; 1/20; 1/7; ; ; ; ; ; ; 5/2; ; ; ; ; ; 2/13; ; 
Draw; 10; ; 5; ; 13/2; 17/2; ; 8; ; ; 1/10; 5; 17/2; 11/2; ; ; ; ; ; ; 13/17; ; ; ; ; ; 6; ; 
Arsenal; 400; ; 33; ; 66; 150; ; 100; ; ; 16; 33; 175; 45; ; ; ; ; ; ; 39/10; ; ; ; ; ; 94; ; 
